GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
17629,chanuni meghasar,jaisalmer,,sankra,,swamiji ki dhani,
17637,chainsingh nagar,jodhpur,,shergarh,,khirjan khas,
32087,soorajpura,tonk,,niwai,,dangarthal,
32009,jaitpur,sawai madhopur,,gangapur,,kunkata kalan,
32113,khera kumbholao,tonk,120,malpura,812002,malikpur,812002240
32140,rampura aheeran,ajmer,119,srinagar,811909,srinagar,811909380
17648,bawarli,jodhpur,113,balesar,811301,bawarli,811301050
32075,sirohi,tonk,,niwai,,arniya,
17645,amrit nagar,jodhpur,113,balesar,811301,kui inda,811301230
32134,nawab,ajmer,119,arain,811901,dadiya,811901090
17649,ghantiyala,jodhpur,,mandor,,nandara kalan,
32154,riyan,jodhpur,,bhopalgarh,,salwa khurd,
32156,dayalpura,pali,,jaitaran,,kekindara,
32094,palei,tonk,,niwai,,palei,
31943,baguriyapura,karauli,,sapotra,,watda,
32057,hanootya,sawai madhopur,108,bonli,810802,gotor,810802150
32046,jastana,dausa,,lalsot,,bilona khurd,
32159,jawasiya,jodhpur,,bilara,,sindhipura,
32130,mothi,tonk,120,malpura,812002,antoli,812002010
31986,gerai ki guwari,karauli,107,karauli,810702,kashipura,810702180
31993,kachroda,karauli,107,sapotra,810705,dikoli kalan,810705140
572,bhanwta,ajmer,,peesangan,,picholiya,
17623,sitaramki dhani,barmer,,sheo,,rajral,
32065,bhedoli,sawai madhopur,108,bonli,810802,gotor,810802150
32017,totolai,sawai madhopur,,gangapur,,bucholai,
32160,jaleli daikara,jodhpur,,mandor,,salwa kalan,
32102,ramjipura,tonk,,niwai,,vanasthali,
32109,ilahipura @ hajipura,tonk,,tonk,,ranoli,
17627,sawaipura,barmer,115,sheo,811515,bhiyar,811515050
32166,ramrawas kalan,jodhpur,113,bhopalgarh,811305,kheri salwa,811305130
32150,gopalpura,ajmer,119,arain,811901,dadiya,811901090
32164,budh nagar,jodhpur,,mandor,,salwa kalan,
32107,abbas nagar khas,tonk,,tonk,,bagarwa,
32101,maharajpura,tonk,,niwai,,chainpura,
17630,undoo,barmer,115,sheo,811515,undoo,811515270
17636,matoorasar,jaisalmer,,sankra,,bhurajgarh,
32108,mohammad pura @onkarpura,tonk,,tonk,,banwara,
32099,anatpura,tonk,,niwai,,lalwari,
32028,khidarpur,sawai madhopur,,gangapur,,bucholai,
17643,khumansar,jaisalmer,,sankra,,bhurajgarh,
32141,barh govindpura @ keriya,tonk,120,malpura,812002,malikpur,812002240
17647,gumansinghpura,jodhpur,,shergarh,,bhoongra,
17653,bhirkali,jodhpur,,mandor,,manaklao,
32167,danta,ajmer,,peesangan,,,
31955,bagpur,karauli,,sapotra,,chandelipura,
32103,chainpura,tonk,,niwai,,chainpura,
31997,basai dulapura,karauli,107,karauli,810702,maholi,810702270
32171,balakua,jodhpur,,mandor,,lordi pandit ji,
17631,kanasar,barmer,,sheo,,chochra,
32183,sewariya,pali,,jaitaran,,kurki,
32126,mohani,tonk,,tonk,,chogai,
32072,tigriya,sawai madhopur,108,bamanwas,810801,sancholi,810801310
1,nooriyawas,ajmer,,peesangan,,picholiya,
32118,rambha,tonk,,tonk,,bagarwa,
32045,barh milakpur,sawai madhopur,,gangapur,,bucholai,
17651,bhandoo charnan,jodhpur,113,balesar,811301,kui inda,811301230
17644,parasar,jaisalmer,,sankra,,swamiji ki dhani,
32184,jajiwal khichiyan,jodhpur,113,mandor,811310,jajiwal kalan,811310140
